"","cod","lat","lng","intrusion","variation","flag_variation","v1","v2","v3","v4","v5","v6","v7"
"67",2660,38.7116011,-1.0011902,1,217.2,"pos",5.15939084161073,221.516145730732,467.714528692886,6877.62472485192,4.39342543439671,2331.58334703185,339.313451489142
"68",3001,38.3438926,-0.4850407,1,2.4,"pos",20.4153798122425,-268.593904290487,2944.13521755487,6327.42739231326,9.55185497426653,599.321852717549,355.003673772185
"69",3002,38.3485232,-0.4797296,2,0,"null",33.8476746990345,-408.041249273099,3239.48240620084,585.493536526337,4.42366011172295,2320.54653707892,335.543781458458
"70",3003,38.3379395,-0.4915329,2,31.6,"pos",48.6158842816949,229.909630321604,2034.67959146947,704.492643941194,7.449103423245,883.901204587892,326.222172878915
"71",3004,38.3484844,-0.489172,2,74,"pos",17.9307766249403,-404.530031207271,3173.5268377699,4358.86001596227,2.05674052429563,6593.53076633997,329.852312037219
"72",3005,38.3628307,-0.5210565,3,25.2,"pos",45.0999064098578,-22.0521905935046,4341.07991699129,4582.62561042793,9.85091566798436,4158.47090054303,339.482616859204
"73",3006,38.3522127,-0.5399631,2,0,"null",38.6307931153569,-208.46942530798,3922.79220921919,1117.70628686063,0.851163559829385,1538.97220315412,335.806278614432
"74",3007,38.3404517,-0.5198751,3,0,"null",1.42063884856179,292.657985968626,4219.089906523,5427.868191991,3.05579537273917,1601.91163620912,354.010557989255
"75",3008,38.3206894,-0.5210565,5,29.6,"neg",13.9223641471472,22.1756000949946,4979.53529595397,2425.34552495927,4.86750422267247,585.381973395124,335.176653660405
"76",3009,38.3760664,-0.5045206,9,0,"null",31.5472482957412,-47.8986060806594,1107.55966771394,3572.63618097641,-1.70187275183793,5319.65706725605,326.615936674095
"77",3010,38.3616509,-0.489172,4,128.4,"pos",12.6023945719935,-247.025895724305,5648.28365626745,5668.60616221093,6.07532401441085,4976.09482882544,333.771436827868
"78",3011,38.3761065,-0.4950746,3,5.3,"pos",4.34966142149642,-32.7975181596828,5857.13679753244,4987.1413229499,13.9166600882285,709.198717959225,334.991125889006
"79",3012,38.359047,-0.48209,1,43,"neg",14.554325210629,201.096374246378,3229.40071187913,3476.82718685828,-4.08913072688359,1473.42107105069,335.35049863813
"80",3013,38.3564426,-0.4750093,5,100,"pos",24.8269332251512,336.124278229843,1721.13868738525,2138.7688995339,7.83970410279007,1817.52058123238,346.815357225718
"81",3014,38.3695691,-0.4844505,7,100,"pos",7.06628818647005,357.230143339674,6417.74095101282,1194.1113606561,5.30003143305076,3746.81712840684,339.797921166659
"82",3015,38.3735614,-0.4738293,2,16,"neg",49.9418073508423,239.94166134934,1012.9212689586,5381.47130622528,2.75576681938401,5485.82096206956,318.829453541975
"83",3016,38.3736719,-0.44552,4,0,"null",26.8173240569886,280.804305854802,6973.28979945742,5318.36276743561,0.607034366571149,4251.79298496805,337.670254832923
"84",3100,38.5469467,-0.5068824,3,41,"neg",40.3183161891066,-170.679725241638,6551.63966189139,5793.39686520398,11.5880601521344,5400.78113703057,326.233272006165
"85",3109,38.5045719,-0.5825359,10,0,"null",48.9531249059364,-304.890638000338,5809.69755714759,6014.99058366753,5.52685561889652,5588.24090152048,343.697840141882
"86",3110,38.4524728,-0.4785495,2,22.1,"pos",18.9701705884654,-387.986924365343,4290.05137104541,4445.73979824781,0.163755168499901,6988.19110710174,332.097503109907
"87",3111,38.4947474,-0.4219444,2,100,"pos",16.5920199302491,174.361644068986,1601.94036909379,1900.45969402418,-8.88690260807787,1433.37461841293,325.083442925065
"88",3112,38.3919582,-0.4809098,2,110.8,"pos",11.4563590257894,-202.684023480045,5064.25260365941,5635.67527984269,6.15168859412686,3732.73048978299,333.306506152114
"89",3113,38.3491451,-0.6275231,3,3.8,"pos",32.9788621691987,191.000379605344,672.156583610922,5799.17984767817,2.13840332531368,6361.56946304254,341.286155728394
"90",3114,38.3257169,-0.5730713,4,0,"null",11.5540256681852,90.1074225229697,4044.43592065945,2963.42700617388,6.84851728833236,2879.49089547619,348.856761070683
"91",3130,38.2203465,-0.554149,1,0,"null",27.2297460848931,-353.926542297504,776.467770151794,1331.39308365062,12.3493139664764,3288.58712892979,356.681376819098
"92",3139,38.2412679,-0.5920027,2,105.7,"pos",7.59696244401857,-15.2822947722895,4435.20141886547,4047.03682605177,-2.85607838020496,4092.68458075821,336.926135852249
"93",3140,38.0929862,-0.6678177,3,76.3,"pos",40.6478032201994,-137.302416232587,3680.77670284547,6289.69025500119,-3.34910070456653,5379.92334626615,326.821353091631
"94",3150,38.1346938,-0.762788,5,26.6,"pos",12.3542098270264,-133.953140257906,1793.63215495832,4788.27507961541,10.8371568620139,4134.3310192693,335.483744935473
"95",3158,38.1555733,-0.8008388,3,0,"null",28.1609234944917,-544.97453410451,6201.74101102166,2532.83840594813,10.2540784817104,5861.80936573073,337.74725626409
"96",3159,38.108239,-0.7675424,12,128.4,"pos",14.7662730673328,1.95353522482844,4176.87220792286,4706.18370524608,2.94663283146835,4637.98997295089,347.895541606381
"97",3160,46.593144,2.9828079,7,4.9,"pos",17.4846167962532,63.4720319651484,6778.62449041568,4673.505213717,8.90415255052444,1846.91957002506,359.378245227617
"98",3169,-23.5538127,-46.5939409,3,100,"pos",13.3995126537047,-52.300938822216,4680.00254752114,1777.36676675268,-42.2533578159172,6876.01716774516,281.694457349444
"99",3170,38.0716137,-0.705779,1,24.2,"neg",17.2722906155977,201.769217300303,5343.89116098173,5981.10119728372,0.948652916772408,3952.17166985385,348.2129213408
"100",3177,38.129793,-0.7010319,3,30.3,"neg",4.34271049895324,339.253142613012,4707.19729317352,5975.56048966944,-4.50068453270513,3761.7983834818,331.970552643415
"101",3178,38.0766987,-0.7390245,6,0,"null",42.0761848830152,-137.936031460094,2137.36969963647,1188.64739034325,-2.57061356977204,2963.02885641344,347.826062190436
"102",3179,38.089933,-0.7366489,8,0,"null",35.0663407088723,-360.47455227843,2224.29768149741,4257.22658275627,7.62809814808251,1725.73765618727,320.617214819802
"103",3180,-23.5588692,-46.5879149,1,4.2,"neg",5.47635319479741,120.941877968252,1524.98630941845,3306.23119771481,-40.9132850558166,5117.92828454636,273.646487214111
"104",3186,37.9681871,-0.7414002,1,39.4,"neg",26.9743415256962,281.83686638733,5269.86773568206,2595.17120909877,11.8074657850806,2790.25976653211,345.369831179493
"105",3187,38.0289361,-0.762788,4,0,"null",34.596413702704,-21.4859351474307,4977.43756794371,1867.27571394295,8.9506535805992,1467.39195203409,362.838628036661
"106",3188,38.0163466,-0.6559621,2,39.8,"neg",48.1080956626683,274.034825229526,5209.26526132971,448.514911811799,0.200637945174585,6216.7627546005,348.744066676158
"107",3189,37.9230139,-0.762788,1,11.2,"neg",37.2505383640528,24.2603842181361,3132.22914007492,2548.97293490358,-1.26788524147264,1863.19831968285,329.024697900992
"108",3190,37.8618627,-0.7889441,1,19.2,"neg",25.1939431789797,-99.7006437317226,6396.58181993291,1257.69682261162,0.913342141191878,3258.61245593987,346.592176106734
"109",3191,37.9012938,-0.8389252,1,45.6,"neg",45.0912211250979,105.554920344702,5031.07075034641,4819.29528047331,-4.00589890197386,1181.61732414737,336.683902039875
"110",3193,37.9651506,-0.8008388,7,124.5,"pos",28.951024631504,173.076321415988,6149.79808996432,2264.32823101059,9.94878173463106,6374.46013414301,352.361523742464
"111",3194,38.151146,-0.663075,2,45.6,"neg",44.5136753125116,358.189831733965,6376.21998568065,829.610638739541,1.7285832780002,1959.41684423015,340.771174714878
"112",3195,38.2625508,-0.554149,1,0,"null",5.16675125667825,-401.637801526856,5420.12535417452,2410.54878393188,5.1874761370974,1519.43499562331,355.58282855069
"113",3200,54.6736213,25.256127,6,100,"pos",44.5108213915955,-276.947233516453,1876.31819616072,6119.44175274111,36.6482423880528,5090.04670339637,340.825958786644
"114",3201,38.2656883,-0.7069658,1,29,"neg",28.8234294510912,-97.7770921732184,4658.64104153588,1644.68476553448,8.75961373121494,3969.22721238807,332.25198779517
"115",3202,38.2751042,-0.6749327,3,0,"null",6.44550373731181,-592.504708468394,3579.45195683278,4942.2697710339,0.756197375564451,6968.37385306135,343.047415992635
"116",3203,38.2911575,-0.6322615,2,0,"null",22.4216929473914,617.214957077779,6959.82201197185,6071.27800970338,3.29372587284097,2340.02770795487,329.542311759919
"117",3204,38.2591174,-0.7034053,7,100.3,"pos",9.88460397114977,-34.2810850325445,5180.13878162019,5345.36693836562,3.09991865232598,2506.36708266102,342.446302641488
"118",3205,38.298443,-0.7390245,7,0,"null",38.8758958908729,-541.475317770671,6930.93374720775,1654.67832190916,0.721727962070744,1176.73866688274,347.576121139799
"119",3206,38.2801532,-0.7129007,6,0,"null",37.850711989915,7.43987181227505,3901.16743575782,3520.90919297189,2.54350809316628,6047.53779182211,340.406271069398
"120",3207,38.2882985,-0.6725609,8,46.8,"pos",9.3922939596232,-210.222476482092,5368.26702901162,5022.33554157428,-6.62592786071771,5241.75035371445,344.660413251202
"121",3290,38.2566604,-0.6725609,2,86.3,"pos",45.7429792862386,121.915976900276,4434.27526201122,673.8111785613,1.92861203049815,3481.41590752639,335.586583381558
"122",3291,38.3092724,-0.6915393,3,12,"neg",25.5704347905703,159.302644301538,5367.35178567469,4337.03374504112,6.38176581710087,6224.58174270578,343.810814995485
"123",3292,38.2252177,-0.634631,3,0,"null",12.7028358790558,38.1394740298695,4010.09755413979,5111.92427952774,1.42451080146998,6874.06679987907,337.163750975188
"124",3293,38.198309,-0.724773,11,10.3,"pos",46.3101856550202,-143.329986405634,4488.95364957862,1897.1443251241,7.49873081954086,2989.02840749361,332.528346119446
"125",3294,38.1986454,-0.6678177,4,28.9,"neg",42.8367212370504,291.359075597644,4085.66731819883,2707.42686460726,3.58488302651317,2072.89772876538,340.6281355173
"126",3295,38.2621703,-0.6298922,7,0,"null",47.892029150622,-258.921466930519,6663.1166159641,6737.63300585561,4.04207341785902,3080.31992767937,331.809026873001
"127",3296,38.2455922,-0.7580342,3,0,"null",47.6346638577525,999.741583028725,1516.60933354869,795.144707616419,9.16967090194908,1307.45358881541,325.291514838128
"128",3300,38.0832273,-0.9366845,3,23.8,"neg",39.5585386620369,102.639276105667,4945.4558711499,5129.85308784992,1.24735741339297,1360.4600968305,340.424695977425
"129",3310,38.0442598,-0.8436885,7,0,"null",37.7996555862483,172.089140009132,5145.53196132183,1868.29030378722,3.67792261935252,6072.55128156394,336.759932828438
"130",3311,38.0854622,-0.9868468,12,0,"null",13.4098880919628,-133.239981904208,3716.88594045117,4175.00979360193,6.98200058074705,4188.38709201664,349.550118437436
"131",3312,38.0485593,-0.9725085,4,13,"neg",33.5815857767593,267.069376377901,2466.69832961634,542.810900881886,6.39671422706375,2242.06210938282,351.231335999714
"132",3313,37.9963122,-0.8865834,3,0,"null",18.3939856286161,398.998802444925,6220.91491459869,1663.02750073373,2.53971754206178,5774.78296551853,333.409569016175
"133",3314,38.0864348,-0.8627473,5,100,"pos",10.7782425771002,110.377374491853,6445.31842274591,500.973142357543,3.50479144848861,6716.66076453403,316.00582086599
"134",3315,38.1966818,-0.9533984,2,2.5,"pos",20.5876780729741,83.2288253262988,5342.96367028728,3732.19987647608,14.0316792980882,565.090234903619,339.512648710101
"135",3320,38.2834589,-0.5920027,5,206.6,"pos",11.7576966374181,59.278931731386,6546.75924666226,4763.42138485052,-1.99233695266943,3276.30024640821,328.978155841382
"136",3330,38.2478979,-0.8079772,3,26,"pos",7.29576559294946,75.0271829110842,6185.12301109731,6885.27910048142,9.88448398599519,5684.67799145728,341.539047301883
"137",3339,38.2187978,-0.8198775,10,100,"pos",30.091895013582,361.742359198544,5157.08067393862,5477.16482635587,1.6031120256793,4689.05470161699,338.059112884016
"138",3340,38.2077599,-0.8865834,7,120.6,"pos",31.7553377181757,37.1256863297857,1012.69626948051,6776.40622658655,-0.0953059541751741,5841.87626121566,341.264292409549
"139",3348,38.1577251,-0.8698967,5,18.9,"pos",49.9614725296851,390.48902486772,6328.39095047675,6809.44648846053,-5.72412457655818,2083.76372572966,329.498072782923
"140",3349,38.1817475,-0.8341624,6,0,"null",11.3105437383056,505.440501911129,1396.51580872014,5961.00656902418,-7.13218143539978,6268.02973523736,344.085951385827
"141",3350,38.1390034,-0.9008917,5,170.3,"pos",44.7745595965534,544.595670366555,6793.99247770198,6387.30653650127,-7.34818678228162,5222.30054191314,327.345119425206
"142",3360,38.128651,-0.8722801,3,18,"neg",37.6412524851039,-64.4827059839258,3387.01084475033,3770.64137822017,0.653302100158041,2040.82110803574,348.00274566232
"143",3369,38.1077191,-0.8436885,4,0,"null",10.585354154231,-389.994048012604,5335.88785091415,2608.27101035975,-8.28110305373015,1290.5657029245,340.692881506286
"144",3370,38.1203433,-0.9223636,5,27.8,"neg",44.3435605631676,-281.66821862219,2423.95495506935,2105.22574610077,10.0156316125538,4009.72500704229,342.234927022182
"145",3380,38.0732669,-0.8555992,1,0,"null",5.20222636312246,60.362163199573,3684.63364313357,5672.4667659495,-0.712592525582789,1901.98663217016,334.18695989933
"146",3400,38.6289448,-0.8484524,1,29.2,"neg",38.5068812456448,236.872195654931,3224.63405570015,2181.70335437171,2.42026563387736,3115.33010248095,337.417688602809
"147",3410,38.6294701,-0.7722974,2,27,"neg",46.0751005180646,234.963535091181,2389.00775043294,2572.11993350647,1.96451682520593,1711.22027630918,351.289236124529
"148",3420,38.5776432,-0.6678177,2,0,"null",5.58317374577746,268.874631437274,2406.77208611742,5254.17344928719,2.92733730624859,3708.70054736733,346.235813435933
"149",3430,38.6405989,-0.6678177,1,49.7,"neg",34.8852525227703,-391.339945155574,4682.6619759202,5163.17116958089,-2.15909974616891,4731.39053573832,351.676559149231
"150",3440,38.6307459,-0.5446912,1,100,"pos",3.73928203899413,275.198965892382,3202.26676966995,2992.18175937422,9.32159146923482,4060.09305315092,351.776765890988
"151",3460,38.7238671,-0.762788,5,50,"neg",4.09240487636998,324.719441396971,4583.42702556401,3572.37397534773,0.580603642119915,2986.05778096244,342.916920661769
"152",3469,38.7026622,-0.8008388,22,100,"pos",16.5036167884246,570.097369620687,5759.57385580987,4886.05241617188,-9.57164247465989,3177.13102456182,342.617720844854
"153",3500,38.4577578,30.2628111,3,45.8,"pos",9.80079852463678,67.352740755991,2324.6957374271,662.511374661699,26.2953604753822,891.194804105908,343.816342748939
"154",3501,38.5387774,-0.12961,5,13.2,"pos",8.29221106600016,55.2593078287353,1341.15529097617,4109.65202529915,6.2137619934395,2800.14446279965,336.677179600486
"155",3502,38.5637027,-0.1448182,3,11.5,"neg",47.2546910862438,64.8899588776179,4752.26605520584,6573.86212791316,4.22494517543023,3852.97971125692,327.295660738152
"156",3503,38.542747,-0.098043,4,36.7,"neg",42.7099007302895,574.955729987414,3348.84452437982,700.080282147974,1.98162133249549,6988.11725261621,347.810459686257
"157",3508,-23.5360826,-46.5325103,28,0,"null",23.9319719742052,-256.718907336332,4897.16910286807,4379.89854360931,-45.8791835009697,6343.20077020675,271.95478152833
"158",3509,38.5793765,-0.1963364,6,0,"null",2.03043849789537,-7.10465829184001,2044.79056727141,1212.45643007569,11.2156251064039,3846.59197670408,322.564441945953
"159",3510,38.6424523,-0.102718,3,33.3,"neg",21.9917195448652,510.999680016788,5859.39652412198,3948.42056701891,-7.34936549876529,2250.37027262151,338.301856767839
"160",3516,38.6318285,-0.2057108,16,0,"null",18.6484506584238,-409.023515187918,3440.87932393886,2317.92709161527,0.327377214260255,4652.54890318029,339.147263468324
"161",3517,38.6736172,-0.2807868,16,0,"null",4.26697952672839,11.5758725958775,6178.71985286474,2269.93978735991,-4.15674557998982,742.121323756874,322.79548118987
"162",3518,38.7053484,-0.102718,21,0,"null",6.05183739797212,337.840578001107,2355.52329826169,4670.79968331382,4.33266356215092,3008.51327870041,333.619523794331
"163",3520,38.6214109,-0.1588618,1,5.3,"pos",29.8391268684063,-25.4173676266979,1491.99571157806,6312.94259009883,5.01612768989834,5575.39772619493,334.748165129328
"164",3530,38.6057121,-0.1261013,3,145.4,"pos",12.3923731658142,-222.764764935594,522.885008016601,4580.11360364035,4.23506279501592,2509.69821792096,318.330281277866
"165",3540,38.3684934,-0.4219444,1,5.2,"pos",46.8633568224031,731.699359977032,2184.80822239071,3329.81118266471,-1.13988065819092,5829.7470192425,330.078141978228
"166",3550,38.4053253,-0.4266584,1,41.8,"neg",16.9428330189548,333.865082766267,4423.19528204389,5984.18833659962,1.10037359736963,6948.72863520868,343.882256687359
"167",3559,38.3867699,-0.4620313,2,100,"pos",41.1984979463741,-172.12540446385,6219.21662716195,2937.32604482211,3.93127542900175,6380.02783204429,356.906887890909
"168",3560,38.473851,-0.3842527,1,4.9,"neg",15.2738171864767,1.44819882634455,3287.20853901468,5844.55363345332,0.0280316941217411,4284.5382806845,322.835626447562
"169",3570,38.5162521,-0.2526163,1,30.8,"pos",28.5717484753113,-88.5494951442947,5898.53508337401,2665.25587039068,-5.99941374928222,6123.8164012786,341.131389599566
